username,score,at,content,thumbsupcount,has_pembayaran,has_driver,has_aplikasi,has_harga,has_layanan,has_order,has_waktu,has_lokasi,has_komunikasi,has_umum,clean_text,label
Yudi Gocar,5,2025-10-18 06:48:25,is the best,0,0,0,0,0,0,0,0,0,0,0,is the best,netral
andi ka,4,2025-10-18 06:33:20,ini gimana si maxim ini belum ada sampai sebulan atau 2 bln udah update lagi apa mau naik tarif ongkos,0,0,0,1,1,0,0,0,0,0,0,gimana si maxim sebulan bln udah update tarif ongkos,netral
Ndari Love74,1,2025-10-18 06:03:55,ribet bangeu daftar buat penumpang jga,0,0,0,0,0,0,0,0,0,0,0,ribet bangeu daftar penumpang jga,netral
syahputra Lumbantoruan31.,1,2025-10-18 05:49:10,top up kaspro soalnya ga ada cash dan buru buru malah gamasuk aplikasi pencuri,0,1,0,0,0,0,0,0,0,0,1,top up kaspro ga cash buru buru gamasuk aplikasi pencuri,netral
Danish Fayza,1,2025-10-18 05:47:39,lokasi suka tidak valid aplikasi jelek,0,0,0,0,0,0,0,0,1,0,1,lokasi suka valid aplikasi jelek,puas
Sardianto la andi La andi,1,2025-10-18 05:43:44,knpa in aplikasi susah skali mau log in makin aneh aplikasi ini tdk bagus,0,0,0,0,0,0,0,0,0,0,1,knpa in aplikasi susah skali log in aneh aplikasi tdk bagus,puas
Nasty Reaper,1,2025-10-18 05:15:09,aplikasi penipu isi e wallet 13k masuknya 10k malah ngga bisa kepake cacattt,0,0,0,0,0,0,0,0,0,0,0,aplikasi penipu isi e wallet k masuknya k ngga kepake cacattt,netral
Ranis Lestari,1,2025-10-18 04:05:14,kenapa gak bisa log in,0,0,0,0,0,0,0,0,0,0,0,gak log in,netral
Rusnia Abdillah,1,2025-10-18 03:09:55,aplikasi idiot udah topup non tunai malah gabisa di gunain titik penjemputan udah sesuai pas di klik malah beda titik banyak bug nya aplikasi kok gaada konsistennya,0,1,0,1,0,0,0,0,1,0,0,aplikasi idiot udah topup non tunai gabisa gunain titik penjemputan udah sesuai pas klik beda titik bug nya aplikasi gaada konsistennya,netral
Aulia Sri dewi,1,2025-10-18 03:00:27,tolong dong jangan rubah jumlah kilo meterx sendiri biaya jadi naik 2 kali lipat naik maxim ke tempat yang sama alamat sama cuma 24rb 3 km tiba jadi 36rb di aplikasi 3km ternyata mahal krn di aplikasi pengemudi 6km,0,0,1,0,1,0,0,0,0,0,0,tolong rubah kilo meterx biaya kali lipat maxim alamat rb km rb aplikasi km mahal krn aplikasi pengemudi km,netral
Kholifah 15,1,2025-10-18 01:55:27,pelayanan sangat buruk pencarian pelaksana terlalu lama driver terlalu sering melebih lebih kan harga yang tidak sesuai dengan yang tertera di aplikasi dengan berbagai alasan bintang satu pun tidak pantas lebih cocok kosongkan bintang berhubung saya ingin mengeluarkan keluh kesah saya jadi apa buat,0,0,1,0,1,0,1,1,0,0,1,pelayanan buruk pencarian pelaksana driver melebih harga sesuai tertera aplikasi alasan bintang cocok kosongkan bintang berhubung mengeluarkan keluh kesah,tidak puas
Andi Irsan,1,2025-10-18 01:44:05,maxim area rote ndao gak jelas harga mau di tinggiin kalo gak di tinggiin gak mau di angkut,0,0,1,0,1,0,0,0,0,0,0,maxim area rote ndao gak harga tinggiin kalo gak tinggiin gak angkut,netral
Anton Suseno,1,2025-10-18 01:22:26,sumpah ribet kode otp ga masuk masuk lewat sms ga masuk telp ga masuk padahal pulsa ada sampe ganti 3 no buat akun tetep ga bisa,0,0,0,0,1,0,0,0,0,0,0,sumpah ribet kode otp ga masuk masuk sms ga masuk telp ga masuk pulsa sampe ganti no akun tetep ga,netral
Ahmad Alif,1,2025-10-18 00:46:32,banyak sekali penipuan di aplikasi ini terutama untuk para driver saya sangat miris tidak ada tindakan pencegahan dari aplikasi untuk perlindungan driver dari tindakan penipuan sangat tidak rekomendasi untuk driver pemula,0,0,1,0,0,0,0,0,0,0,1,penipuan aplikasi driver miris tindakan pencegahan aplikasi perlindungan driver tindakan penipuan rekomendasi driver pemula,netral
Bunganabotar GSepriwati,5,2025-10-18 00:36:26,puas dgn layanan nya baik itu aplikasi maupun driver mas yg bw motor smua baik,0,0,1,0,0,0,0,0,0,0,1,puas dgn layanan nya aplikasi driver mas yg bw motor smua,puas
darma wan,1,2025-10-18 00:33:51,titik lokasi nya kurang update gara2 titik lokasi jadi salah paham sm drivernya,0,0,0,1,0,0,0,0,1,0,0,titik lokasi nya update gara titik lokasi salah paham sm drivernya,netral
Puput Haingoke,4,2025-10-18 00:15:32,mau ngeluh soal driver lagi lama min ya ampun ak udah nunggu 10 menit an udah itu d jalan lama banget gilak ak dah bilangin secara halus lho jangan belok pak itu lurus terus aja drivernya bilang ap banyak lampu merah wht lampu merah di jalan yang mau dia belok in lebih banyak terus jalan nya lebih jauh ak udah telat bela belain pesen setengah tujuh datengnya jam 6 40 apasih capek malah jadi telat di jalan anjir drivernya lelet banget tolong,1,0,1,0,0,0,0,1,0,0,0,ngeluh driver min ya ampun ak udah nunggu menit an udah d jalan banget gilak ak dah bilangin halus lho belok lurus aja drivernya bilang ap lampu merah wht lampu merah jalan belok in jalan nya ak udah telat bela belain pesen tujuh datengnya jam apasih capek telat jalan anjir drivernya lelet banget tolong,netral
Aji Polsuspas,1,2025-10-18 00:12:56,maxim knp si,0,0,0,0,0,0,0,0,0,0,0,maxim knp si,netral
anggrek 55,3,2025-10-18 00:10:23,murah sih tapi masa selalu kebalik yg minta cancle ojolnya bkn pelanggannya,0,0,0,0,1,0,0,0,0,0,0,murah sih kebalik yg cancle ojolnya bkn pelanggannya,puas
Sahwal Syarif,5,2025-10-18 00:09:20,aku suka aplikasi ini sangat berguna,0,0,0,0,0,0,0,0,0,0,1,suka aplikasi berguna,puas
Jenny Kunthi,1,2025-10-17 23:34:59,mau msuk aplikasi nya lg susah banget mnta kirim ulang lwt sms katanya waktu nya hbis gk pake aplikasi maxim juga gak apa sih masih ada aplikasi yg lain,0,0,0,0,0,0,0,0,0,0,0,msuk aplikasi nya lg susah banget mnta kirim ulang lwt sms nya hbis gk pake aplikasi maxim gak sih aplikasi yg,tidak puas
Tasya Novalia,4,2025-10-17 23:21:18,ini j,0,0,0,0,0,0,0,0,0,0,0,j,netral
Lyono Prakoso,1,2025-10-17 20:57:44,tolong di akun penumpang di buat vermuk dan cantumin nomer telpon biar ga banyak orderan fiktif dan akurasi maps tolong di perbaiki lagi di akun driver 0 8 km di jalanin maps jadi 1 6 km itu yang bikin driver jadi lambat,0,0,1,1,0,0,0,0,1,0,0,tolong akun penumpang vermuk cantumin nomer telpon biar ga orderan fiktif akurasi maps tolong perbaiki akun driver km jalanin maps km bikin driver lambat,tidak puas
ellyn varel,1,2025-10-17 17:30:47,apk nya bgus minesnya ada stu org maxim mlh minta 15k seharusnya hrga sesuai titik penjemputan dn sesuai aplikasi yg shrsnya sy byr 12k mnjdi 15k tlong dong lain kali kalau titik pnjemputan sgtu ya sgtu aj gsh di naikan hrga kmbli,0,0,0,0,0,0,0,0,1,0,0,apk nya bgus minesnya stu org maxim mlh k hrga sesuai titik penjemputan dn sesuai aplikasi yg shrsnya sy byr k mnjdi k tlong kali titik pnjemputan sgtu ya sgtu aj gsh naikan hrga kmbli,netral
