review,rating
is the best,5
ini gimana si maxim ini belum ada sampai sebulan atau 2 bln udah update lagi apa mau naik tarif ongkos,4
Ribet bangeu daftar buat penumpang jga,1
"top up kaspro soalnya ga ada cash dan buru buru, malah gamasuk. aplikasi pencuri",1
"lokasi suka tidak valid, aplikasi jelek",1
knpa in aplikasi susah Skali mau log in makin aneh aplikasi ini TDK bagus,1
"aplikasi penipu, isi e wallet 13k, masuknya 10k, malah ngga bisa kepake. cacattt",1
kenapa gak bisa log in?????,1
"aplikasi idiot, udah topup non tunai malah gabisa di gunain!!! titik penjemputan udah sesuai, pas di klik malah beda titik. banyak bug nya! aplikasi kok gaada konsistennya!!!",1
"Tolong dong jangan rubah² jumlah kilo meterx sendiri, biaya jadi naik 2 kali lipat naik maxim ke tempat yang sama alamat sama cuma 24rb 3 km , tiba² jadi 36rb di aplikasi 3km ternyata mahal krn di aplikasi pengemudi 6km.",1
"pelayanan sangat buruk,pencarian pelaksana terlalu lama,driver terlalu sering melebih lebih kan harga,yang tidak sesuai dengan yang tertera di aplikasi dengan berbagai alasan. bintang satu pun tidak pantas,lebih cocok kosongkan bintang, berhubung saya ingin mengeluarkan keluh kesah saya,jadi apa buat.",1
"Maxim area Rote Ndao gak jelas, harga mau di tinggiin, kalo gak di tinggiin gak mau di angkut",1
"sumpah ribet, kode otp ga masuk masuk, lewat SMS ga masuk, telp ga masuk padahal pulsa ada, sampe ganti 3 no buat akun tetep ga bisa",1
"banyak sekali penipuan di aplikasi ini terutama untuk para driver, saya sangat miris tidak ada tindakan pencegahan dari aplikasi untuk perlindungan driver dari tindakan penipuan. sangat tidak rekomendasi untuk driver² pemula",1
puas dgn layanan nya baik itu aplikasi maupun driver/mas yg bw motor smua baik 👍👌,5
"titik lokasi nya kurang update, gara2 titik lokasi jadi salah paham sm drivernya",1
"mau ngeluh soal driver lagi, LAMA MIN, YA AMPUN, ak udah nunggu 10 menit an, udah itu d jalan lama banget Gilak!, ak dah bilangin secara halus lho, jangan belok pak, itu lurus terus aja😀, drivernya bilang ap? banyak lampu merah! wht?! lampu merah di jalan yang mau dia belok in lebih banyak, TERUS JALAN NYA LEBIH JAUH, ak udah telat, bela belain pesen setengah tujuh, datengnya jam 6.40! apasih, capek. malah jadi telat di jalan anjir, drivernya lelet banget tolong 😭",4
Maxim knp si,1
murah sih tapi masa selalu kebalik yg minta cancle ojolnya bkn pelanggannya,3
aku suka aplikasi ini sangat berguna,5
mau msuk aplikasi nya lg susah banget mnta kirim ulang lwt SMS katanya waktu nya hbis.gk pake aplikasi Maxim juga gak apa sih masih ada aplikasi yg lain.,1
ini j,4
"tolong di akun penumpang di buat vermuk dan cantumin nomer telpon biar ga banyak orderan fiktif. Dan akurasi maps tolong di perbaiki lagi, di akun driver 0.8 km di jalanin maps jadi 1.6 km itu yang bikin driver jadi lambat",1
"apk nya bgus minesnya ada stu org maxim mlh minta 15k seharusnya hrga sesuai titik penjemputan dn sesuai aplikasi, yg shrsnya sy byr 12k mnjdi 15k, tlong dong lain kali kalau titik pnjemputan sgtu ya sgtu aj gsh di naikan hrga kmbli.",1
"kebanyakan driver nya suka lawan arah membahayakan penumpang dan orang lain dan waktu penjemputan lama kebanyakan tanya jga dan kebanyakan suka ugal"" lan di jalan",1
"aplikasi sampah! daftar aja kagak dikirim2 kode OTP nya, bahkan pakai nomor berbeda tetap sama",1
"min... driver mu ada yg gak sopan kurang ajar dalam berbahasa. alamat udah jelas, masih ditanya muluk. sampai ketinggalan Speedboat dan alhasil tiket hangus senilai 400rb. udah gitu di cancel, trus pencarian driver baru lagi, eh dia lagi yg muncul. baru kali ini dapat driver yg gak sopan bahasanya. ngatain customer SUDAH GILA KAU. aku loh malah biasanya kalo dikota² lain pakai GrAb selalu ngasih FEE. ini malah dikatain.",1
sangat bagus,5
kenapa saya tidak bisa memesan taxdrever,1
ini aplikasi gimana sih. masa setiap mau pesan ojek harus hapus download hapus download. tolong dong perbaiki,1
sanga mudah digunakan,5
cukup membantu,3
"mana anjg saldo kaspro nya, dh aku isi juga tapi di Maxim tetap GK terisi",1
"aku dah pilih pembayaran lewat akun tapi otomatis keganti sama cash, padahal aku dah ada diskon di akun ku",3
"baru kali ini kecewa sama maxim. driver nya ga beres, udh lama nunggu malah dilewatin aja bukan nya stop atau nelpon. anak istri gw nungguin ga bisa pulang gara2 hujan",1
"pengemudi nya banyak tingkah kalau hujan tidak mau menerima orderan padahal pesennya yang mobil,udah kayak orang gak butuh duit",1
keren,5
Iya suka,5
aplikasi paling tolol sedunia,1
top up jelek babi,1
"setiap isi ewalet kaspro lama banget masuk ny, truss driver ny jg kebanyak an ugal2 an gak profesional, smg lebih baik maxim",2
"Maxim tolong pelayanan driver ny buruk, saya barusan mau d leceh kn driver maxim saya sangat""trauma saya minata pertanggungjawaban pihak maxim sya udh lapor d apk maxim namun gk asa jawaban",1
"sangat kecewa dengan tim driver maxim, layanan etika driver gojek sangat layak diberikan jempol. Kemaren saya menggunakan maxim, lalu saya komplen di aplikasi karena driver mengemudi sambil merokok, seharusnya dia sadar dan beretika dalam bekerja atau setidaknya peka saat konsumen merasa tidak nyaman. asap rokoknya sangat banyak menggumpal ke wajah saya tiap perjalanan, membuat saya tidak nyaman dan sering menahan nafas. PAGI INI DRIVER TERSEBUT MELABRAK SAYA TIDAK TERIMA ATAS KOMPLEN SAYA.",1
maaf seblom nya ini saya termaksud pengguna akun Drive maxsim juga .mohon klau ketgasan nya mau di sama kan ada SKCK SIM sama STNK.gini kita sering kali dapat orderan seperti food. orderan fiktif kadang kita udah di beli nmor nya aktif pas udah di beli tinggal antar eh malah di kensel itu kebijakan nya seperti apa. setidak nya ada ketegasan pengembalian atau ganti rugi .itu nama nya merugikan driver .pantas banyak orang lari Drive Maxim lari ke gojek atau pun ke grab.karna mereka bisa menjamin .,1
top,5
"selalu lama,kadang udah diterima tiba"" driver nya batalin...",4
min kan aku dapat voucher atau apa yang 200.000 kok gak di bayar semua malah bayar setengah ke driver kecewa,2
bagus..cuman untuk pembelian merchant atau brg...rata2 mereka enggk ada uang,2
Ok baik,5
driver ngasih estimasi waktu 2 menit pas datang rata-rata 10 menit mana kendaraan gak tuh yg bagus,2
kedua kalinya download apk ini.. mudah2n maxim yg skg ga kayak yg dulu..,4
isi caspro kok lambat ga masuk masuk,1
keren,5
"percuma drivermu prioritas tapi banyak aneh aneh, heran sama akun maxim ini isi nya orang pilih""",1
"buat Maxim klo pilih driver itu di seleksi lagi ya...saya sering pesan Maxim drivernya kaya preman rata""...ada driver yg tidak pake helm, ada driver yg sambil nganter customer dengarin musik lewat headset, tidak pake jaket... tolong diseleksi baik"" ya",1
good,5
"Saya dua kali coba isi saldo maxim kaspro kenapa tidak ada yang masuk saldonya, mohon ditindak lanjuti, saya benar-benar kecewa, saldo saya tidak ada yang masuk",1
👍👍👍👍,5
plss adain fitur krim foto,3
KODE BUSUK,1
tolong dong yang jelas bikin aplikasi,2
APLIKASI SAMPAH BANYAK PENIPUAN,1
mantap,5
bagus,4
thks maxim jasamu sangat berharga,5
"konyol,mau order minta kode RTP mele..",1
Ko tidak bisa mendotar kan ya,4
kalau hujan supirnya kayak taiikkk semua gak ada yang mau padahal sini bayar gak numpang,1
"banyak kang ojek nya mines atitud, mines akhlak dn gk tanggung jawab padahal kang ojek doang mandang fisik udh kyk dia ganteng aj",1
"jelek banget kendaraan nya gila, mabok AC gw memey puki banget astaga fukkc",1
"ini udh pake 6 nomor 3 hp gabisa keluar otp nya, tolong perbaiki dong, butuh bgt ini buat kemana2. dulu ga gini deh Maxim",3
bayak penipuan,1
"ini aplikasi nya tambah buruk. Terlambat kerja gara² tunggu pesan ojek motornya, padahal di tikungan dekat rumah banyak ojek maxim nya, malah di kasi ojek maxim yg jauh.",1
"maps kurang banyak dan akurat,, kota juga kurang banyak",1
"saya kasih 1 ratingnya,tolong di tinjau lagi sikap dan perilaku driver yaa jgn belaguuu,kalo cape jadi driver gak usah kerja,tidur aja dirumah,yg namanya kerja semuaaa capee bang,kalo gak mau capee tidur aja dirmh jgn kerja,masa saya belum sampe diturunin dipinggir jalan,drivernya maunya sesuai titik,tapi kadang titik dari Maxim nya aja gak sesuai,titik saya cuma beda berapa meter aja gak mau anter drivernya najissss,dilatih lagi deh ya Maxim biar performa nya gak turun,modelan driver maless",1
"apasi oon bgt, masa login ke apknya gadapet kodenya sama sekali padahal nomornya sudah sesuai",1
"UI nya kurang menarik, di kasih saldo 200k gk bisa di pake 100%",1
